0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_Ser_to_His,dist_SerH_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser238,dist_Ser238_2,dist_Ser238_3,dist_Ser238_4,dist_Ser238_5,dist_Ser238_6,dist_Ser238_to_His,dist_Ser238H_to_His,dist_His273_Asp,dist_His273_Asp2,sasaSer,sasaSer238,sasaLig
41,-11482.162599999998,-21.6581988,33.675994,33.826684,2.809484800000001,1.9209493999999998,1.5788187999999999,3.0274746000000006,13.263590399999998,13.672932999999999,13.6833028,13.201072400000001,13.8779478,15.0560004,2.968973799999999,2.0495053999999997,3.4963211999999997,1.5310114,0.00462,0.037000000000000005,0.5951356
42,-11601.847587064676,-82.97641325572138,27.391591791044778,28.96827711442786,2.7907698507462686,1.9092535323383084,1.5645103482587066,3.0406073880597013,9.156084776119403,5.868611990049752,8.949367089552238,10.317466119402985,6.601581766169155,6.603202960199004,3.1312132587064676,2.220380199004975,3.428185970149254,1.5333592537313432,0.0009676616915422886,0.0054154228855721395,0.3382289154228855
43,-11622.48044626594,-55.44508099453552,37.39786621129326,39.37331621129326,2.813586402550091,1.9322288433515482,1.5689923679417122,2.9874248451730416,13.17936465391621,17.201797194899818,20.77020300546448,15.776919371584697,17.532229781420764,20.957836612021858,2.937590719489982,2.005292859744991,3.41965883424408,1.5341752459016393,9.107468123861566e-05,0.028135701275045538,0.44893380783242254
44,-11609.340081037277,-44.330503150729335,34.458151701782825,37.88068395461912,2.784205137763371,1.8825300972447325,1.5703822852512157,3.0614141653160454,14.039986223662886,13.246366288492707,16.471077795786062,17.443737601296597,14.719147325769855,14.740036628849271,2.9881003889789306,2.0678054619124793,3.448212512155592,1.5239776012965964,0.00036790923824959483,0.043714748784440836,0.4967995964343598
45,-11605.393686818632,-37.17663050029733,27.95079861248761,27.61133448959366,2.79167657086224,1.898192695738355,1.5775419722497521,3.1111019127849353,20.51046581764123,20.452245688800794,17.666083845391476,17.51661306243806,19.352236095143706,17.156016174430125,2.9587963330029736,2.024206124876115,3.3941848166501485,1.5260906442021804,0.00024677898909811696,0.03284043607532211,0.46583272150644195
46,-11602.757148148146,-51.693222,36.857589999999995,33.76265407407408,2.793866925925926,1.8982452592592591,1.5703648518518518,3.0476620370370373,16.155896185185185,16.21288074074074,13.413804444444443,12.870047407407407,14.15560125925926,13.011177407407407,3.0500187777777774,2.126586407407408,3.467502222222222,1.5334542962962963,0.0008407407407407409,0.03578888888888889,0.4755383444444444
47,-11460.453823529413,-32.26666294117646,32.439482352941184,31.21093529411765,2.803585882352941,1.9110117647058824,1.571685588235294,2.9828714705882353,12.541684117647058,10.994764411764706,9.833151764705882,11.754323529411765,11.05417382352941,11.555761470588235,3.0152955882352943,2.0946058823529414,3.473264117647059,1.5379520588235294,0.0030294117647058825,0.018323529411764707,0.5723610588235294
48,-11538.986235294116,-17.786474247058823,36.28307176470587,35.880995294117646,2.8073597647058826,1.9166475294117642,1.5705970588235292,3.0257949411764704,17.408230705882353,16.650638823529412,16.163678823529413,16.777697647058826,16.268617647058825,16.063487176470588,3.120662117647058,2.2043079999999997,3.5111845882352934,1.5301485882352939,0.002105882352941176,0.09114117647058823,0.6007915882352942
49,-11595.07445736434,-28.986206160206716,43.55257260981912,41.728235271317835,2.8022959819121445,1.9143904521963824,1.5657963307493539,3.037923695090439,20.73582052971576,23.56590284237726,22.90537338501292,18.874794832041342,20.670762532299744,21.224301291989672,3.010900129198966,2.091430581395349,3.5981047157622736,1.5330869767441861,0.00030878552971576225,0.04559302325581394,0.529639949612403
50,-11629.67728160608,-79.85655299457406,27.068631144872487,27.043052523060226,2.7914371459576777,1.8948255127509497,1.571231204557786,3.0809990667390124,4.176888648941942,8.492171584373304,11.552975496473143,6.197163933803581,10.399828963646229,11.448846049918613,3.1604983396635924,2.209808681497558,3.352064389582203,1.5527533098209443,4.449267498643517e-05,0.0005925122083559414,0.32015602495930545
