0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser133,dist_Ser133_2,dist_Ser133_3,dist_Ser133_to_His,dist_His_Glu,dist_His_Glu2,sasaSer,sasaSer133,sasaLig
58,-11542.97219512195,-18.38031552804878,24.99220243902439,25.353554878048783,25.370697560975607,2.8152643902439025,1.5765306097560976,3.052686341463415,13.12072036585366,12.70950963414634,13.520079390243902,3.592025731707317,1.5894467073170728,2.7533758536585373,0.00275609756097561,0.13318292682926827,0.6097175
59,-11448.32731707317,-0.007024658536585431,29.06000243902439,28.001087804878047,30.702565853658538,2.8262836585365854,1.5856773170731708,3.0139207317073167,18.009521951219508,19.745554390243903,19.10810512195122,4.758102439024389,3.238207804878049,4.093655121951219,0.011975609756097561,0.005121951219512195,0.7596491707317073
60,-11535.43945945946,-3.579668972972973,23.726374324324322,22.820164864864864,24.624133783783787,2.826100945945946,1.5820222972972975,3.049842972972973,13.517674729729729,14.451278783783781,13.492244189189188,4.550466621621621,2.073134189189189,2.774468243243243,0.007391891891891894,0.0006351351351351352,0.693294364864865
61,-11589.40980769231,-48.75754190384615,20.917089423076924,21.14025,19.332910576923076,2.829603653846154,1.5881309615384613,3.068727980769231,9.380361442307693,8.474450288461538,6.753319903846154,4.359880576923077,1.7084010576923074,2.6462341346153844,0.01969230769230769,0.004807692307692306,0.4552536057692308
62,-11543.613076923077,-6.278367996153847,25.86132564102564,25.55900641025641,27.0937423076923,2.8070901282051284,1.5824317948717948,3.067809230769231,14.393886153846152,15.791476923076925,15.507302692307693,3.8125162820512832,1.7628971794871797,2.8727351282051288,0.0029230769230769236,0.011205128205128204,0.6977887948717949
63,-11520.516078431374,-36.22213588235294,24.129203921568628,22.63627058823529,23.994515686274514,2.821116470588235,1.5798713725490194,3.032252352941177,13.203969019607841,14.463218431372551,12.826553725490193,3.8053837254901954,2.723079803921568,1.8062841176470585,0.00635294117647059,0.006490196078431373,0.590562019607843
64,-11481.612653061222,-6.658601696530612,24.997636734693877,25.224900000000005,25.38198571428571,2.8345081632653066,1.5821846938775508,3.025339795918367,13.54597612244898,14.26563612244898,13.936076938775509,4.731790204081633,2.7381885714285716,3.4693510204081632,0.016795918367346938,0.0039387755102040815,0.7412161632653061
65,-11536.913469387757,-14.083914262244898,27.933459183673477,27.079881632653066,26.94026224489796,2.820584183673469,1.5862104081632653,3.0845919387755094,17.10053581632653,16.51237816326531,15.46802112244898,4.5540582653061215,1.6346821428571428,2.512169387755102,0.005602040816326531,0.06941836734693876,0.648198142857143
66,-11521.366984126984,-3.9144797777777782,24.409765079365073,23.532230158730155,25.12165079365079,2.8262379365079364,1.5780004761904765,3.0447193650793656,13.607262380952383,14.655300158730157,13.616490793650792,4.495257777777779,2.8800973015873015,3.41304,0.007825396825396826,0.0005555555555555556,0.6610180476190476
67,-11549.447578947369,-8.109360951578946,26.777046315789466,26.193011578947363,28.45576105263158,2.813414736842106,1.579613052631579,3.0498650526315787,14.057603789473687,16.116012842105267,15.582350315789474,3.2039856842105254,2.130836421052632,2.3669937894736846,0.002242105263157895,0.15241052631578947,0.6952799368421055
68,-11529.098840579709,-14.5770885115942,23.295385507246372,22.19815217391304,23.288891304347825,2.8157984057971013,1.5816802898550724,3.0506837681159418,13.165454492753623,13.97463956521739,12.991818405797103,4.487983478260871,2.3309995652173914,2.1135110144927536,0.005347826086956522,0.002391304347826087,0.6697527826086958
69,-11588.11629032258,-43.49264833870968,19.05669274193549,20.77836612903226,20.951887096774197,2.8269846774193557,1.585560483870968,3.0706267741935482,7.586399032258065,9.866075080645162,11.179800967741937,3.5957233870967737,1.7193421774193551,2.474919435483871,0.005524193548387097,0.014249999999999995,0.5313755000000001
70,-11511.376875,-10.898849281250001,21.821340624999998,20.4431828125,21.2019609375,2.82255515625,1.57903453125,3.0313946874999997,11.251626250000001,10.85500125,9.36626546875,4.0639678125,2.20321390625,2.17297734375,0.0044687500000000005,0.025531250000000002,0.67415553125
71,-11559.864444444445,-16.329969135802468,20.94300740740741,22.06792098765432,21.94329012345679,2.8241417283950616,1.5855453086419753,3.0654425925925923,9.9940424691358,11.320592469135804,12.342517160493829,4.180472962962964,1.825307160493827,2.652571851851852,0.01180246913580247,0.003987654320987654,0.6144988641975309
72,-11470.384888888888,-9.305486928888888,25.158173333333334,24.526713333333333,26.261642222222225,2.825562666666667,1.5795973333333333,3.0107480000000004,13.679492444444445,15.038106222222225,14.512234,4.08904711111111,2.2602435555555553,3.258181555555556,0.012644444444444446,0.007133333333333334,0.7232454444444444
73,-11514.63625,-9.8756974625,25.41105625,25.096796875,26.197571875,2.82975625,1.5826371875,3.04005203125,15.191354687499999,16.2187059375,15.87972109375,5.13149890625,2.9417771875000005,3.9056395312500003,0.018640625,0.0016875000000000002,0.676667125
74,-11519.23127272727,-14.244890803636359,23.467478181818183,23.05078727272728,23.854074545454527,2.825643272727272,1.583733272727273,3.024492181818182,12.320745090909098,12.922288363636364,12.532409272727264,3.8897156363636367,1.997687636363636,2.2513372727272722,0.006563636363636364,0.02418181818181819,0.673760618181818
75,-11524.732525252526,-7.022246216161617,24.441620202020204,23.772098989898993,24.84246363636364,2.8231656565656564,1.585122222222222,3.0812338383838385,15.149677575757575,16.304638585858587,15.957541818181818,4.732748686868687,2.293731515151515,2.3825007070707067,0.01021212121212121,0.0007272727272727273,0.6811141717171717
76,-11511.179622641512,-25.482566396226417,20.624924528301893,19.28771509433962,21.344530188679244,2.820868301886792,1.587345283018868,3.0711009433962264,9.79569716981132,11.10579188679245,9.600458867924528,4.4550283018867916,1.6151286792452828,2.4587949056603775,0.008622641509433964,0.0017735849056603773,0.6113968490566037
77,-11562.45857142857,-37.197135833333334,22.993588095238096,22.781328571428567,20.365767857142856,2.833525238095238,1.5832848809523805,3.0719371428571427,12.720369999999997,12.263461547619048,9.83196142857143,4.3132254761904765,1.5994485714285713,2.799917023809525,0.018714285714285715,0.01416666666666667,0.5008060952380953
78,-11533.880967741936,-22.808294532258063,23.273364516129035,22.217409677419354,24.234933870967748,2.82469435483871,1.5840930645161293,3.064725161290323,11.665330483870965,13.004434193548388,11.946120322580649,4.700122580645161,2.474175967741935,3.0234267741935485,0.008806451612903226,0.0013225806451612903,0.6111335967741937
79,-11528.709687499999,-6.355065921875,25.8492703125,25.214898437499997,26.209404687500005,2.8234440625,1.5837428125,3.05261765625,14.498655156249999,15.088088593750001,14.332807656249999,4.071958125,1.7328534375,2.46157109375,0.007546875000000001,0.0045312500000000006,0.69920396875
80,-11553.50953488372,-14.28988743023256,23.949259302325583,23.06137093023256,25.041755813953486,2.8196683720930236,1.5842606976744187,3.067507558139535,12.888748953488369,14.411884651162792,13.248802674418606,4.693489418604651,2.081081627906977,2.3992258139534886,0.00904651162790698,0.0005930232558139535,0.6379114767441861
81,-11548.744603174602,-2.745146929365079,26.14775238095238,25.49149841269842,27.77065714285714,2.827850555555555,1.5823948412698416,3.0755934920634913,15.542641666666666,17.54139746031746,16.82388595238096,4.540441984126983,1.8821150793650792,2.5377098412698413,0.00777777777777778,0.0002936507936507937,0.6952795238095238
